price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
299.9,"KL City, Kuala Lumpur",Shopee | Men's Bags & Wallets | Crossbody Bags | Crossbody Bags,PLAYBOY Monogram Crossbody & Shoulder Bags Sling Bag PMH 7854-1 Black | Shopee Malaysia,5,playboymalaysia,179.94
48,"KL City, Kuala Lumpur",Shopee | Cameras & Drones | Other Cameras | Film Camera,Kodak Ultramax 400 Color Film (36 exposure & 24 exposure) Exp: 2025/01 | Shopee Malaysia,5,techiempire,48
19,"KL City, Kuala Lumpur",Shopee | Men Clothes | Pants | Cargo Pant,Seluar cargo Slim-Fit premium quality multipocket boleh pakai tali pinggang Tactical Pant  Kain Tebal SELUAR KERJA | Shopee Malaysia,4.8,maxmix.com.my,16
149,,Shopee | Health & Beauty | Eye Care | Eye Cream & Serum,SKINTIFIC 360° Crystal Massager Lifting Eye Cream Eye Serum Removes Fine Lines Dark Circles With Niacinamide Caffeine | Shopee Malaysia,4.9,skintificofficialstore,59
16,,Shopee | Men Clothes | Others | Others,JOGGER (Harga borong).size:-30-40..hot sell🔥🔥Ready stock | Shopee Malaysia,4.7,rabiyalisa,13.5
113.88,"KL City, Kuala Lumpur",Shopee | Mobile & Accessories | Selfie Accessories | Monopod,Multifunctional Phone Stand Phone Holder Foldable Mobile Phone Holder With Light | Shopee Malaysia,5,otakustorebynk,85.41
72.9,,Shopee | Women Clothes | Sports & Beachwear | Swimsuits,[READY STOCK]2PCS Korean Style Summer Holiday Mood Swimsuit Swimwear Bikini/现货3件套泳衣泳装套装 [L087] | Shopee Malaysia,4.9,laceleymy,48.9
0.96,,Shopee | Sports & Outdoor | Acrobatic & Martial Arts | Training Equipment,"(Ready Stock) 18g football training logo disc, high toughness logo disc, thick and wear-resistant football training marker, football and basketball training aids, agility training equipment, football marker vertebral body足球标志碟 训练标志盘 足球飞盘 足球训练辅助用品 | Shopee Malaysia",4.5,sportendless.my,0.58
3.9,,Shopee | Muslim Fashion | Hijab | Shawl Hijab,Shawl Satin Matte Plain Original SAME DAY SHIPPING | Shopee Malaysia,4.8,bawalbatik,3.9
4.5,,"Shopee | Games, Books & Hobbies | Other Languages Books | Literature & Novels",人人爱超级好吃的精制嫩滑爽口美乐鸭血300g | Shopee Malaysia,5,chinaminimarket,4.28
2.2,,Shopee | Cameras & Drones | Security Cameras & Systems | Others,DAHUA Analog Connector DC Jack/DC Power Female Connector Adapter Plug Cable Screw | Shopee Malaysia,No ratings yet,eatechnology.os,0.65
0.9,,Shopee | Women Clothes | Socks & Tights | Calf & Thigh,READY STOCK UNIQ daisy Socks cute sock women ankle stokin Cartoon women Fashion Short Breathable Sweat Absorption Soft | Shopee Malaysia,4.9,uniq8870,0.6
1.1,,Shopee | Muslim Fashion | Accessories | Prayer Sets & Mats,1 PCS DIGITAL TASBIH/TASBIH MANIK /TASBIH QUALITY/TASBIH DIGITAL/ DOORGIFT MURAH / WT1192-MIX/WT1188 | Shopee Malaysia,4.9,fsweddinghantaran,0.96
39,"KL City, Kuala Lumpur",Shopee | Women Clothes | Pants & Shorts | Long Pants,Cheetah Ladies Regular Fit Terry Sweat Pants - CL-51170(R) | Shopee Malaysia,5,cheetah.os,37
14.9,"KL City, Kuala Lumpur",Shopee | Muslim Fashion | Hijab | Instant Shawl,TUDUNG INSTANT SHAWL HELENA TUDUNG SARUNG INSTANT MOSCREPE/INSTANT HELENA CHIFFON PREMIUM AWNING SCUBA | Shopee Malaysia,4.9,norehannordin,14.9
57.5,"KL City, Kuala Lumpur",Shopee | Men Shoes | Loafers & Slip-Ons | Slip Ons & Mules,Vans Slip-On Shoes With Checked Pattern And Checked Pattern For Men And Women Full Box Biill Super Cheap | Shopee Malaysia,4.8,nutagiay6f.my,45.5
3.99,,Shopee | Muslim Fashion | Kain Pasang & Songket | Kain Pasang Cotton,Part 1 Premium Moss Crepe Knit Iron LessBidang 60” | Shopee Malaysia,4.9,jaydeantex,3.99
84,"KL City, Kuala Lumpur",Shopee | Women Clothes | Plus Size | Dresses,ZANZEA Women Vintage Retro Casual Solid Turn Down Collar Long Dress | Shopee Malaysia,5,zanzea.os,33.49
