price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
20.0,"KL City, Kuala Lumpur",Women Clothes | Set Wear | Family Set,👉T👈 Full FAMILY SET 👍100% COTTON Round neck t-shirts,4.8,mohammadmd587,12.0
200.0,"KL City, Kuala Lumpur",Women Clothes | Pants & Shorts | Leggings & Jeggings,Keexuennl S7 Seluar Legging Wanita Legging Plus Size Tiktok Legging Women Sport Bra Running Gym Yoga,4.9,aiteli168,36.8
5.9,,Watches | Men's Watches | Business & Casual,Cartoon Digital LED Jam Tangan Kanak Budak Perempuan lelaki Waterproof Kid Watch Boy Girl Children Kartun Squid Game,4.9,ocwatch,0.9
8.99,"KL City, Kuala Lumpur",Men Clothes | Suits | Suit Vests & Waistcoats,Men Slimming Slim Singlet Vest Belt Slim n Body Fit Shaper,4.7,bestpriceborong,8.99
,"KL City, Kuala Lumpur",Men Clothes | Tops | Polo Shirts,ULTIFRESH The Best 100% Microfiber Long Sleeve Polo T-Shirt UDF27 Unisex Performance Dri-Fit Polo UDF27 Group A,4.9,ultifresh,17.0
65.0,,Women Clothes | Set Wear | Others,READY STOCK🇲🇾 SET KUTUBARU NYONYA + PARIO/SKIRT - FREE BELT,4.9,kebayanusantara,65.0
9.9,"KL City, Kuala Lumpur",Mobile & Accessories | Cases & Covers | Android Cases & Covers,Casing Soft Case iPhone 11 iPhone 8plus 7plus 6 6s Plus 8 7 iPhone XR X 11Pro Max XS MAX iPhone 13 Pro Max Cute Cartoon Silicon TPU Phone Cover,4.6,wolkastore.my,0.99
48.5,"KL City, Kuala Lumpur",Mobile & Accessories | Powerbanks & Batteries | Powerbanks,🔥60000mAh Powerbank Full Capacity 4 USB Charge Ports PD Fast Charging Power bank LED Digital Display,4.7,mygadgetmall,48.5
19.9,"KL City, Kuala Lumpur","Home & Living | Bath | Mats, Towels & Robes",Chelsea Home Bath Towel (400 Grams): Tuala Mandi 100 % Natural Fine Cotton 70x140 cm (Factory Clearance),4.9,cottonhome,9.95
99.9,,Watches | Men's Watches | Business & Casual,[Malaysia 3 Year Warranty] Casio GSHOCK BATTLE PETAK HITAM DW5900 DW5900B-1 Men Watch Watches Jam Tangan Lelaki,4.8,watchgod.my,24.89
69.0,"KL City, Kuala Lumpur",Women Clothes | Maternity Wear | Dresses,#102#Long Sleeve Floral Pregnant Woman Loose Maxi Dress Maternity Dress,4.9,goldendiamond.my,21.9
22.6,,Health & Beauty | Face Make Up | Concealer,ROSETYARA CORRECTOR ORANGE OREN 😍 GREEN 😍 HIGHLIGHTER STICK,4.9,humeera_beauty,22.6
3.5,,Health & Beauty | Sun Care | Body Sunscreen & After Sun,PROMOSI!!! Krim ub paling murah(uv whitening),5,kosmetik_syma,3.5
29.9,"KL City, Kuala Lumpur",Mobile & Accessories | Selfie Accessories | Monopod,Lazypod Phone Holder 360 Rotating Flexible Long Arm Flexible Phone Stand Holder For Phone,4.8,iconnect88,2.1
14.4,,Men Clothes | Suits | Others,Japanese and Korean Style High-End Men's Crown Brooch British Chain Tassel Female Badge Fashionmonger Personalized Suit Ornament,5,linerfashion.my,14.4
0.2,,Health & Beauty | Brushes & Beauty Tools | Others,"Msia Stock💙Anti Leak squeezable Eye Drop Bottle, Eye Drop Dropper, Liquid Container (5ml,10ml,15ml,20ml), Plastic Bottle",4.8,fth6425,0.2
18.0,,Health & Beauty | Face Make Up | Foundation,ORIGINAL SAKA GLOWING FOUNDATION LONG LASTING WATERPROOF,4.9,beautytime621,5.99
19.14,"KL City, Kuala Lumpur",Men Clothes | Suits | Suit Vests & Waistcoats,Men's Multi Pocket Zip Vest Hunting Fly Fishing Travel Summer Autumn Outdoor Sport Quick-Dry Waistcoat Jacket,5,skypower.my,19.14
4.99,,Men Clothes | Innerwear | Briefs,MUNAFIE Man Underwear Fierce Briefs Shorts Lelaki Seluar Dalam (FREE SIZE 40kg-85kg),4.6,zxo_fashion,1.7
0.19,,Health & Beauty | Brushes & Beauty Tools | Mirrors,Unicorn cartoon cute mirror makeup mirror portable mirror mini round mirror Pocket mirror Ready Stock,5,micstrading,0.19
15.5,,Men Clothes | Suits | Blazer,PRIA Plain Men's Tie/Formal Blazer Suit Accessories,No ratings yet,habibiblazerij.my,15.5
5.99,"KL City, Kuala Lumpur",Mobile & Accessories | Cool Gadgets | USB Fan,🔥[Ready Stock]🔥  Portable Rechargeable Mini Fan Table USB 3 Speed Kipas Mini,4.6,cantik.online,5.99
18.0,"KL City, Kuala Lumpur",Mobile & Accessories | Powerbanks & Batteries | Phone Batteries,PIKA Battery Compatible with 3GS 4 4S 5 5S 5C SE 6 6S Plus 7 Plus 8 Plus X XR XS Max SE 11 12 Pro Max Battery Bateri,4.9,wenhong047,18.0
1.0,,Home & Living | Handmade | Gift Wrapping,Colour Gift Box Plain Craft Paper Box Pizza Box Carton Box Packing Box Packaging Box Kotak Black and Pink,4.8,kotakking,0.55
0.38,,Home & Living | Handmade | Others,Bubble Envelope Bubble Mailer Courier Bag Parcel Bag Parcel Plastic Bag Courier Plastic Bag Plastik Postage Flyers Flyer,4.9,epanda,0.17
9.9,,Men Clothes | Innerwear | Boxers & Trunks,【Mebraties】SELUAR DALAM DEWASA LELAKI/ SELUAR TIDUR PENDEK LELAKI/ BOXER TYPE/ SPENDER LELAKI/ MEN BOXER,4.9,mebraties,1.98
